Model,812,383,44,534,399,302,141,268,484,641,548,549,34,528,143,118,152,343,123,72,461,688,562,13,276,203,104,645,530,131,24,664,529,431,209,350,502,540,271,304,349,456,751,395,656,55,788,192,782,489,326,538,503
349,54,70,79,15,103,68,108,138,114,88,51,51,51,51,122,62,62,111,111,111,111,149,44,44,44,44,44,44,44,44,44,44,75,90,90,111,111,111,33,173,173,173,173,114,33,130,26,123,124,124,155,90,90
456,54,70,79,15,103,68,108,138,114,88,51,51,51,51,122,62,62,111,111,111,111,149,44,44,44,44,44,44,44,44,44,44,75,90,90,111,111,111,33,173,173,173,173,114,33,130,26,123,124,124,155,90,90
751,54,70,79,15,103,68,108,138,114,88,51,51,51,51,122,62,62,111,111,111,111,149,44,44,44,44,44,44,44,44,44,44,75,90,90,111,111,111,33,173,173,173,173,114,33,130,26,123,124,124,155,90,90
395,33,40,55,13,78,38,79,104,80,73,35,35,35,35,75,28,28,79,79,79,79,98,24,24,24,24,24,24,24,24,24,24,52,52,52,84,84,84,26,114,114,114,114,117,19,98,13,90,80,80,112,68,68
656,20,25,10,1,22,26,18,21,22,16,5,5,5,5,28,25,25,24,24,24,24,28,15,15,15,15,15,15,15,15,15,15,22,31,31,17,17,17,10,33,33,33,33,19,34,21,9,15,33,33,28,10,10
55,33,40,59,13,87,40,91,120,94,78,46,46,46,46,88,26,26,89,89,89,89,115,22,22,22,22,22,22,22,22,22,22,56,54,54,101,101,101,29,130,130,130,130,98,21,137,11,108,93,93,133,85,85
788,16,21,11,2,13,20,11,15,15,11,9,9,9,9,27,24,24,18,18,18,18,26,18,18,18,18,18,18,18,18,18,18,15,27,27,20,20,20,2,26,26,26,26,13,9,11,29,13,26,26,20,11,11
192,28,37,58,14,79,40,86,119,88,72,45,45,45,45,88,32,32,83,83,83,83,113,24,24,24,24,24,24,24,24,24,24,50,54,54,92,92,92,24,123,123,123,123,90,15,108,13,129,88,88,123,80,80
782,43,58,59,7,76,67,78,104,82,62,36,36,36,36,100,56,56,85,85,85,85,116,39,39,39,39,39,39,39,39,39,39,58,83,83,77,77,77,29,124,124,124,124,80,33,93,26,88,131,131,113,62,62
489,43,58,59,7,76,67,78,104,82,62,36,36,36,36,100,56,56,85,85,85,85,116,39,39,39,39,39,39,39,39,39,39,58,83,83,77,77,77,29,124,124,124,124,80,33,93,26,88,131,131,113,62,62
326,48,59,74,19,104,58,104,141,107,85,51,51,51,51,111,49,49,106,106,106,106,140,36,36,36,36,36,36,36,36,36,36,67,77,77,116,116,116,32,155,155,155,155,112,28,133,20,123,113,113,165,94,94
538,19,23,46,13,59,22,67,92,65,56,33,33,33,33,63,17,17,61,61,61,61,83,17,17,17,17,17,17,17,17,17,17,34,34,34,85,85,85,13,90,90,90,90,68,10,85,11,80,62,62,94,100,100
503,19,23,46,13,59,22,67,92,65,56,33,33,33,33,63,17,17,61,61,61,61,83,17,17,17,17,17,17,17,17,17,17,34,34,34,85,85,85,13,90,90,90,90,68,10,85,11,80,62,62,94,100,100
